place_name,n_uses,kind,status,source,lat,lon,uncertainty_m,geonames_id,geonames_name,feature,country,admin1,qid,osm,confidence,note,decision
Petala,13,locality,linked,geonames,38.41587,21.09263,2000,255478,Nisída Petalás,T.ISL,GR,ESYE22,Q3044679,,0.85,GeoNames contains name match (GR); entry context 13 km (100% of the entries),
Kap Skropha,13,route,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Mugamiri,13,settlement,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Lange Linie,13,locality,review,osm,50.67622,11.06003,500,,,,,,,node/283640363,0.55,565 km from the entries' other places (0% within 80 km),
Jochberg,13,,linked,osm+geonames,47.37920,12.41807,2000,2775068,Jochberg,P.PPLA3,AT,07,Q691877,relation/85643,0.95,entry context 8 km (25% of the entries),
Peterer-Alm,13,locality,review,osm,47.70527,12.41081,100,,,,,,,way/124840574,0.60,OSM amenity/restaurant named after the place,
Fuchsing,13,settlement,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Westseite,13,locality,review,osm,48.54622,10.84709,300,,,,,,,way/254492545,0.60,OSM highway/footway named after the place,
Mainz,13,,linked,osm+geonames,49.98185,8.28008,5000,2874225,Mainz,P.PPLA,DE,08,Q1720,relation/62630,0.95,entry context 25 km (40% of the entries),
Südufer,13,locality,linked,osm,47.93758,11.13026,1500,,,,,,Q56153887,way/595145281,0.95,entry context 40 km (67% of the entries),
Antoninger Sumpfgebiet,13,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Ensee,13,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
Weilheim,13,,linked,osm+geonames,47.84147,11.15484,2000,2812515,Weilheim,P.PPLA3,DE,02,Q535674,relation/936925,0.95,entry context 6 km (100% of the entries),
Solln,13,locality,linked,osm+geonames,48.07877,11.51320,1000,2831511,Solln,P.PPLX,DE,02,Q2299008,node/1700532849,0.95,entry context 1 km (100% of the entries),
Maisinger Au,13,locality,no_match,,,,,,,,,,,,0.00,no gazetteer entry,
